Conversion run started at 2026-07-08 18:12:28
Working directory: /home/gpca/daltoolbox
[2026-07-08 18:12:34] phase=rmd->md status=ok duration=6.493s file=Rmd/classification/01-baseline-majority.Rmd
[2026-07-08 18:12:34] phase=rmd->md status=ok duration=0.145s file=Rmd/classification/02-interpretable-tree.Rmd
[2026-07-08 18:12:34] phase=rmd->md status=ok duration=0.100s file=Rmd/classification/10-instance-based-knn.Rmd
[2026-07-08 18:12:34] phase=rmd->md status=ok duration=0.142s file=Rmd/classification/11-probabilistic-naive-bayes.Rmd
[2026-07-08 18:12:35] phase=rmd->md status=ok duration=0.144s file=Rmd/classification/12-ensemble-random-forest.Rmd
[2026-07-08 18:12:35] phase=rmd->md status=ok duration=0.133s file=Rmd/classification/13-margin-svm.Rmd
[2026-07-08 18:12:35] phase=rmd->md status=ok duration=0.100s file=Rmd/classification/14-neural-mlp.Rmd
[2026-07-08 18:12:35] phase=rmd->md status=ok duration=0.205s file=Rmd/classification/15-ensemble-bagging.Rmd
[2026-07-08 18:12:36] phase=rmd->md status=ok duration=0.795s file=Rmd/classification/16-ensemble-boosting.Rmd
[2026-07-08 18:12:36] phase=rmd->md status=ok duration=0.131s file=Rmd/classification/17-linear-logistic-glm.Rmd
[2026-07-08 18:12:36] phase=rmd->md status=ok duration=0.272s file=Rmd/classification/18-linear-logistic-glmnet.Rmd
[2026-07-08 18:12:36] phase=rmd->md status=ok duration=0.097s file=Rmd/classification/19-probabilistic-multinomial.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=4.434s file=Rmd/classification/20-model-selection-tuning.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=0.092s file=Rmd/classification/21-tree-rpart.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=0.148s file=Rmd/classification/22-boosting-xgboost.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/README.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=0.197s file=Rmd/clustering/01-partitional-kmeans.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=0.130s file=Rmd/clustering/02-medoid-pam.Rmd
[2026-07-08 18:12:41] phase=rmd->md status=ok duration=0.160s file=Rmd/clustering/10-density-dbscan.Rmd
[2026-07-08 18:12:42] phase=rmd->md status=ok duration=0.132s file=Rmd/clustering/11-fuzzy-cmeans.Rmd
[2026-07-08 18:12:42] phase=rmd->md status=ok duration=0.202s file=Rmd/clustering/12-model-based-gmm.Rmd
[2026-07-08 18:12:43] phase=rmd->md status=ok duration=0.850s file=Rmd/clustering/13-hierarchical-hclust.Rmd
[2026-07-08 18:12:43] phase=rmd->md status=ok duration=0.326s file=Rmd/clustering/14-graph-louvain.Rmd
[2026-07-08 18:12:43] phase=rmd->md status=ok duration=0.260s file=Rmd/clustering/19-custom-evaluation.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.409s file=Rmd/clustering/20-model-selection-tuning.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.009s file=Rmd/clustering/README.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.082s file=Rmd/custom/01-custom-transformation.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.211s file=Rmd/custom/10-custom-classification.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.254s file=Rmd/custom/20-custom-regression.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.120s file=Rmd/custom/30-custom-clustering.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.085s file=Rmd/custom/40-autoencoder-base-encoder.Rmd
[2026-07-08 18:12:44] phase=rmd->md status=ok duration=0.053s file=Rmd/custom/41-autoencoder-base-encoder-decoder.Rmd
[2026-07-08 18:12:45] phase=rmd->md status=ok duration=0.053s file=Rmd/custom/50-pattern-miner-base.Rmd
[2026-07-08 18:12:45] phase=rmd->md status=ok duration=0.009s file=Rmd/custom/README.Rmd
[2026-07-08 18:12:46] phase=rmd->md status=ok duration=1.208s file=Rmd/graphics/01-comparison-bar.Rmd
[2026-07-08 18:12:46] phase=rmd->md status=ok duration=0.370s file=Rmd/graphics/02-comparison-bar-with-error.Rmd
[2026-07-08 18:12:47] phase=rmd->md status=ok duration=0.394s file=Rmd/graphics/03-comparison-grouped-bar.Rmd
[2026-07-08 18:12:47] phase=rmd->md status=ok duration=0.457s file=Rmd/graphics/04-comparison-stacked-bar.Rmd
[2026-07-08 18:12:48] phase=rmd->md status=ok duration=0.542s file=Rmd/graphics/05-comparison-lollipop.Rmd
[2026-07-08 18:12:48] phase=rmd->md status=ok duration=0.490s file=Rmd/graphics/06-proportion-pie.Rmd
[2026-07-08 18:12:48] phase=rmd->md status=ok duration=0.380s file=Rmd/graphics/07-profile-radar.Rmd
[2026-07-08 18:12:50] phase=rmd->md status=ok duration=1.262s file=Rmd/graphics/10-distribution-histogram.Rmd
[2026-07-08 18:12:51] phase=rmd->md status=ok duration=1.813s file=Rmd/graphics/11-distribution-density.Rmd
[2026-07-08 18:12:52] phase=rmd->md status=ok duration=0.748s file=Rmd/graphics/12-distribution-boxplot.Rmd
[2026-07-08 18:12:53] phase=rmd->md status=ok duration=0.531s file=Rmd/graphics/13-distribution-boxplot-by-class.Rmd
[2026-07-08 18:12:53] phase=rmd->md status=ok duration=0.295s file=Rmd/graphics/14-distribution-density-by-class.Rmd
[2026-07-08 18:12:53] phase=rmd->md status=ok duration=0.321s file=Rmd/graphics/20-relationship-scatter.Rmd
[2026-07-08 18:12:54] phase=rmd->md status=ok duration=0.311s file=Rmd/graphics/21-relationship-points.Rmd
[2026-07-08 18:12:54] phase=rmd->md status=ok duration=0.285s file=Rmd/graphics/22-relationship-correlation.Rmd
[2026-07-08 18:12:57] phase=rmd->md status=ok duration=2.591s file=Rmd/graphics/23-relationship-pair.Rmd
[2026-07-08 18:13:01] phase=rmd->md status=ok duration=4.492s file=Rmd/graphics/24-relationship-pair-advanced.Rmd
[2026-07-08 18:13:02] phase=rmd->md status=ok duration=0.525s file=Rmd/graphics/25-relationship-parallel.Rmd
[2026-07-08 18:13:02] phase=rmd->md status=ok duration=0.300s file=Rmd/graphics/26-relationship-pixel.Rmd
[2026-07-08 18:13:02] phase=rmd->md status=ok duration=0.465s file=Rmd/graphics/27-relationship-dendrogram.Rmd
[2026-07-08 18:13:03] phase=rmd->md status=ok duration=0.333s file=Rmd/graphics/30-time-series-lines.Rmd
[2026-07-08 18:13:03] phase=rmd->md status=ok duration=0.313s file=Rmd/graphics/31-time-series-basic.Rmd
[2026-07-08 18:13:03] phase=rmd->md status=ok duration=0.324s file=Rmd/graphics/32-time-series-forecast.Rmd
[2026-07-08 18:13:04] phase=rmd->md status=ok duration=0.760s file=Rmd/graphics/40-export-save-pdf.Rmd
[2026-07-08 18:13:05] phase=rmd->md status=ok duration=1.036s file=Rmd/graphics/41-export-save-jpg.Rmd
[2026-07-08 18:13:05] phase=rmd->md status=ok duration=0.010s file=Rmd/graphics/README.Rmd
[2026-07-08 18:13:05] phase=rmd->md status=ok duration=0.303s file=Rmd/patterns/01-apriori-rules.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.263s file=Rmd/patterns/10-eclat-itemsets.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.150s file=Rmd/patterns/20-cspade-sequences.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.009s file=Rmd/patterns/README.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.009s file=Rmd/README.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.137s file=Rmd/regression/01-interpretable-tree.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.093s file=Rmd/regression/10-instance-based-knn.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.087s file=Rmd/regression/11-linear-model.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.167s file=Rmd/regression/20-ensemble-random-forest.Rmd
[2026-07-08 18:13:06] phase=rmd->md status=ok duration=0.145s file=Rmd/regression/30-margin-svm.Rmd
