Conversion run started at 2026-09-20 17:39:12
Working directory: C:/Git/dal/daltoolbox
[2026-09-20 17:39:17] phase=rmd->md status=ok duration=5.480s file=Rmd/classification/ensemble/12-ensemble-random-forest.Rmd
[2026-09-20 17:39:18] phase=rmd->md status=ok duration=0.203s file=Rmd/classification/ensemble/15-ensemble-bagging.Rmd
[2026-09-20 17:39:18] phase=rmd->md status=ok duration=0.703s file=Rmd/classification/ensemble/16-ensemble-boosting.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.224s file=Rmd/classification/ensemble/22-boosting-xgboost.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.011s file=Rmd/classification/ensemble/README.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.197s file=Rmd/classification/fundamentals/01-baseline-majority.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.166s file=Rmd/classification/fundamentals/02-interpretable-tree.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.174s file=Rmd/classification/fundamentals/21-tree-rpart.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/fundamentals/README.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.209s file=Rmd/classification/knn/10-instance-based-knn.Rmd
[2026-09-20 17:39:19] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/knn/README.Rmd
[2026-09-20 17:39:20] phase=rmd->md status=ok duration=0.185s file=Rmd/classification/linear-models/17-linear-logistic-glm.Rmd
[2026-09-20 17:39:20] phase=rmd->md status=ok duration=0.322s file=Rmd/classification/linear-models/18-linear-logistic-glmnet.Rmd
[2026-09-20 17:39:20] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/linear-models/README.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=3.943s file=Rmd/classification/model-selection/20-model-selection-tuning.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/model-selection/README.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.150s file=Rmd/classification/neural-networks/14-neural-mlp.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/neural-networks/README.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.153s file=Rmd/classification/probabilistic/11-probabilistic-naive-bayes.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.276s file=Rmd/classification/probabilistic/19-probabilistic-multinomial.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/probabilistic/README.Rmd
[2026-09-20 17:39:24] phase=rmd->md status=ok duration=0.011s file=Rmd/classification/README.Rmd
[2026-09-20 17:39:25] phase=rmd->md status=ok duration=0.145s file=Rmd/classification/svm/13-margin-svm.Rmd
[2026-09-20 17:39:25] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/svm/README.Rmd
[2026-09-20 17:39:25] phase=rmd->md status=ok duration=0.237s file=Rmd/clustering/advanced-views/11-fuzzy-cmeans.Rmd
[2026-09-20 17:39:25] phase=rmd->md status=ok duration=0.479s file=Rmd/clustering/advanced-views/12-model-based-gmm.Rmd
[2026-09-20 17:39:26] phase=rmd->md status=ok duration=0.500s file=Rmd/clustering/advanced-views/13-hierarchical-hclust.Rmd
[2026-09-20 17:39:26] phase=rmd->md status=ok duration=0.227s file=Rmd/clustering/advanced-views/14-graph-louvain.Rmd
[2026-09-20 17:39:26] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/advanced-views/README.Rmd
[2026-09-20 17:39:26] phase=rmd->md status=ok duration=0.147s file=Rmd/clustering/density/10-density-dbscan.Rmd
[2026-09-20 17:39:26] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/density/README.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.303s file=Rmd/clustering/model-selection/19-custom-evaluation.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.337s file=Rmd/clustering/model-selection/20-model-selection-tuning.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/model-selection/README.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.173s file=Rmd/clustering/partitional/01-partitional-kmeans.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.159s file=Rmd/clustering/partitional/02-medoid-pam.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/partitional/README.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/README.Rmd
[2026-09-20 17:39:27] phase=rmd->md status=ok duration=0.124s file=Rmd/custom/01-custom-transformation.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.195s file=Rmd/custom/10-custom-classification.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.230s file=Rmd/custom/20-custom-regression.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.138s file=Rmd/custom/30-custom-clustering.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.089s file=Rmd/custom/40-autoencoder-base-encoder.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.096s file=Rmd/custom/41-autoencoder-base-encoder-decoder.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.086s file=Rmd/custom/50-pattern-miner-base.Rmd
[2026-09-20 17:39:28] phase=rmd->md status=ok duration=0.013s file=Rmd/custom/README.Rmd
[2026-09-20 17:39:29] phase=rmd->md status=ok duration=0.640s file=Rmd/graphics/comparison/01-comparison-bar.Rmd
[2026-09-20 17:39:29] phase=rmd->md status=ok duration=0.310s file=Rmd/graphics/comparison/02-comparison-bar-with-error.Rmd
[2026-09-20 17:39:29] phase=rmd->md status=ok duration=0.303s file=Rmd/graphics/comparison/03-comparison-grouped-bar.Rmd
[2026-09-20 17:39:30] phase=rmd->md status=ok duration=0.350s file=Rmd/graphics/comparison/04-comparison-stacked-bar.Rmd
[2026-09-20 17:39:30] phase=rmd->md status=ok duration=0.401s file=Rmd/graphics/comparison/05-comparison-lollipop.Rmd
[2026-09-20 17:39:30] phase=rmd->md status=ok duration=0.295s file=Rmd/graphics/comparison/06-proportion-pie.Rmd
[2026-09-20 17:39:31] phase=rmd->md status=ok duration=0.292s file=Rmd/graphics/comparison/07-profile-radar.Rmd
[2026-09-20 17:39:31] phase=rmd->md status=ok duration=0.010s file=Rmd/graphics/comparison/README.Rmd
[2026-09-20 17:39:32] phase=rmd->md status=ok duration=0.997s file=Rmd/graphics/distribution/10-distribution-histogram.Rmd
[2026-09-20 17:39:33] phase=rmd->md status=ok duration=1.029s file=Rmd/graphics/distribution/11-distribution-density.Rmd
[2026-09-20 17:39:33] phase=rmd->md status=ok duration=0.498s file=Rmd/graphics/distribution/12-distribution-boxplot.Rmd
[2026-09-20 17:39:34] phase=rmd->md status=ok duration=0.272s file=Rmd/graphics/distribution/13-distribution-boxplot-by-class.Rmd
[2026-09-20 17:39:34] phase=rmd->md status=ok duration=0.263s file=Rmd/graphics/distribution/14-distribution-density-by-class.Rmd
